,compressor_1_dischargePressure,compressor_1_calculatedCapacity,compressor_1_suctionPressure,compressor_1_motorCurrent
2023-01-14 09:00:00-08:00,74.85644444444459,2.8000000000000083,6.577999999999974,0.0
2023-01-14 09:15:00-08:00,75.04111111111085,2.8000000000000083,6.665888888888929,0.0
2023-01-14 09:30:00-08:00,75.20444444444507,2.8000000000000083,6.537444444444445,0.0
2023-01-14 09:45:00-08:00,75.41833333333382,2.8000000000000083,6.492111111111119,0.0
2023-01-14 10:00:00-08:00,75.45922222222268,2.8000000000000083,6.514666666666629,0.0
2023-01-14 10:15:00-08:00,75.61944444444347,2.8000000000000083,7.281000000000015,0.0
2023-01-14 10:30:00-08:00,75.71422222222093,2.8000000000000083,6.817222222222183,0.0
2023-01-14 10:45:00-08:00,75.87866666666694,2.8000000000000083,6.503888888888837,0.0
2023-01-14 11:00:00-08:00,75.9433333333335,2.8000000000000083,6.261444444444351,0.0
2023-01-14 11:15:00-08:00,75.98033333333339,2.8000000000000083,5.950333333333314,0.0
2023-01-14 11:30:00-08:00,76.03911111111047,2.8000000000000083,6.864444444444401,0.0
2023-01-14 11:45:00-08:00,76.10011111110974,2.8000000000000083,5.815333333333415,0.0
2023-01-14 12:00:00-08:00,76.18111111111006,2.8000000000000083,6.870111111111058,0.0
2023-01-14 12:15:00-08:00,76.19999999999872,2.8000000000000083,6.433555555555585,0.0
2023-01-14 12:30:00-08:00,76.23700000000044,2.8000000000000083,6.936222222222188,0.0
2023-01-14 12:45:00-08:00,76.26255555555552,2.8000000000000083,6.013222222222283,0.0
2023-01-14 13:00:00-08:00,76.21733333333201,2.8000000000000083,5.585888888888886,0.0
2023-01-14 13:15:00-08:00,76.22344444444434,2.8000000000000083,6.398888888888869,0.0
2023-01-14 13:30:00-08:00,76.18977777777651,2.8000000000000083,6.773444444444357,0.0
2023-01-14 13:45:00-08:00,76.21133333333277,2.8000000000000083,7.57522222222224,0.0
2023-01-14 14:00:00-08:00,76.28488888888928,2.8000000000000083,7.4371111111110855,0.0
2023-01-14 14:15:00-08:00,76.2115555555545,2.8000000000000083,7.083444444444433,0.0
2023-01-14 14:30:00-08:00,76.29366666666704,2.8000000000000083,7.580666666666665,0.0
2023-01-14 14:45:00-08:00,76.30000000000128,2.8000000000000083,6.948888888888862,0.0
2023-01-14 15:00:00-08:00,76.29611111111127,2.8000000000000083,6.41844444444445,0.0
2023-01-14 15:15:00-08:00,76.27766666666797,2.8000000000000083,6.164666666666696,0.0
2023-01-14 15:30:00-08:00,76.33266666666745,2.8000000000000083,4.940555555555552,0.0
2023-01-14 15:45:00-08:00,76.30188888889003,2.8000000000000083,4.9927777777777935,0.0
2023-01-14 16:00:00-08:00,76.30733333333464,2.8000000000000083,4.463777777777774,0.0
2023-01-14 16:15:00-08:00,76.34166666666778,2.8000000000000083,4.619666666666658,0.0
2023-01-14 16:30:00-08:00,76.16844444444358,2.8000000000000083,9.733777777777783,0.0
2023-01-14 16:45:00-08:00,75.67744444444403,2.8000000000000083,6.383222222222194,0.0
2023-01-14 17:00:00-08:00,75.54844444444417,2.8000000000000083,3.91111111111112,0.0
2023-01-14 17:15:00-08:00,75.44366666666711,2.8000000000000083,9.21988888888889,0.0
